,Name,Team,BYE,Pos,ADP,FantasyPros,YahooXRank,Yahoo!vADP,Yahoo!vFP,Round,Pick
,Jakobi Meyers,LV,13,WR,128,113,116,-0.09,0.03,,116
,Aaron Rodgers,NYJ,7,QB,111,117,117,0.05,0.00,,117
,Anthony Richardson,IND,11,QB,112,140,118,0.05,-0.16,,118
,Cole Kmet,CHI,13,TE,135,129,119,-0.12,-0.08,,119
,Odell Beckham,BAL,13,WR,119,147,120,0.01,-0.18,,120
,JuJu Smith-Schuster,NE,11,WR,118,108,121,0.03,0.12,11,121
,Jeff Wilson,MIA,10,RB,169,120,122,-0.28,0.02,,122
,Jared Goff,DET,9,QB,104,123,123,0.18,0.00,,123
,Michael Thomas,NO,11,WR,104,111,124,0.19,0.12,,124
,Skyy Moore,KC,10,WR,127,142,125,-0.02,-0.12,,125
,Ezekiel Elliott,FA,-,RB,150,175,126,-0.16,-0.28,,126
,Kenneth Gainwell,PHI,10,RB,154,148,127,-0.18,-0.14,,127
,Allen Lazard,NYJ,7,WR,122,124,128,0.05,0.03,,128
,Kendre Miller,NO,11,RB,139,146,129,-0.07,-0.12,,129
,Devin Singletary,HOU,7,RB,146,130,130,-0.11,0.00,,130
,Jaylen Warren,PIT,6,RB,153,139,131,-0.14,-0.06,,131
,Zach Charbonnet,SEA,5,RB,101,110,132,0.31,0.20,,132
,Raheem Mostert,MIA,10,RB,157,135,133,-0.15,-0.01,12,133
,Tyler Boyd,CIN,7,WR,130,133,134,0.03,0.01,,134
,Quentin Johnston,LAC,5,WR,101,104,135,0.34,0.30,,135
,Zay Jones,JAC,9,WR,144,136,136,-0.06,0.00,,136
,Darnell Mooney,CHI,13,WR,132,125,137,0.04,0.10,,137
,Zay Flowers,BAL,13,WR,120,119,138,0.15,0.16,,138
,Rondale Moore,ARI,14,WR,137,134,139,0.01,0.04,,139
,Dalton Schultz,HOU,7,TE,121,112,140,0.16,0.25,,140
,Adam Thielen,CAR,7,WR,134,141,141,0.05,0.00,,141
,Jerick McKinnon,KC,10,RB,125,116,142,0.14,0.22,,142
,Tyler Higbee,LAR,10,TE,132,132,143,0.08,0.08,,143
,DJ Chark,CAR,7,WR,174,143,144,-0.17,0.01,,144
,Michael Gallup,DAL,7,WR,162,144,145,-0.10,0.01,13,145
,Dalton Kincaid,BUF,13,TE,137,161,146,0.07,-0.09,,146
,Leonard Fournette,FA,-,RB,160,202,147,-0.08,-0.27,,147
,Sam LaPorta,DET,9,TE,164,186,149,-0.09,-0.20,,148
,Clyde Edwards-Helaire,KC,10,RB,196,166,150,-0.23,-0.10,,149
,Gerald Everett,LAC,5,TE,155,138,151,-0.03,0.09,,150
,Chuba Hubbard,CAR,7,RB,169,154,152,-0.10,-0.01,,151
,Rashid Shaheed,NO,11,WR,173,156,153,-0.12,-0.02,,152
,Dawson Knox,BUF,13,TE,167,158,154,-0.08,-0.03,,153
,Russell Wilson,DEN,9,QB,117,128,156,0.33,0.22,,154
,De'Von Achane,MIA,10,RB,115,131,157,0.37,0.20,,155
,Mike Gesicki,NE,11,TE,171,155,158,-0.08,0.02,,156
,Donovan Peoples-Jones,CLE,5,WR,147,145,159,0.08,0.10,14,157
,Cordarrelle Patterson,ATL,11,RB,188,167,162,-0.14,-0.03,,158
,Juwan Johnson,NO,11,TE,149,151,164,0.10,0.09,,159
,Romeo Doubs,GB,6,WR,140,150,165,0.18,0.10,,160
,Jonathan Mingo,CAR,7,WR,163,189,166,0.02,-0.12,,161
,Derek Carr,NO,11,QB,126,152,167,0.33,0.10,,162
,Jayden Reed,GB,6,WR,191,212,168,-0.12,-0.21,,163
,Trey McBride,ARI,14,TE,202,164,169,-0.16,0.03,,164
,Irv Smith,CIN,7,TE,156,162,170,0.09,0.05,,165
,Gus Edwards,BAL,13,RB,193,153,171,-0.11,0.12,,166
,Michael Carter,NYJ,7,RB,213,173,172,-0.19,-0.01,,167
,Kareem Hunt,FA,-,RB,168,211,173,0.03,-0.18,,168
,Matthew Stafford,LAR,10,QB,136,149,175,0.29,0.17,15,169
,Jerome Ford,CLE,5,RB,177,170,176,-0.01,0.04,,170
,Curtis Samuel,WAS,14,WR,185,171,177,-0.04,0.04,,171
,Wan'Dale Robinson,NYG,13,WR,187,174,178,-0.05,0.02,,172
,Zamir White,LV,13,RB,226,187,179,-0.21,-0.04,,173
,Hunter Renfrow,LV,13,WR,190,165,180,-0.05,0.09,,174
,Roschon Johnson,CHI,13,RB,159,169,181,0.14,0.07,,175
,Zach Ertz,ARI,14,TE,201,193,182,-0.09,-0.06,,176
,Allen Robinson,PIT,6,WR,214,195,184,-0.14,-0.06,,177
,Brock Purdy,SF,9,QB,175,201,187,0.07,-0.07,,178
,Joshua Kelley,LAC,5,RB,221,196,188,-0.15,-0.04,,179
,Kenny Pickett,PIT,6,QB,148,163,189,0.28,0.16,,180
,Joshua Palmer,LAC,5,WR,203,192,191,-0.06,-0.01,16,181
,Marquez Valdes-Scantling,KC,10,WR,179,177,195,0.09,0.10,,182
,Tyquan Thornton,NE,11,WR,206,188,196,-0.05,0.04,,183
,K.J. Osborn,MIN,13,WR,142,159,198,0.39,0.25,,184
,Isaiah Hodgins,NYG,13,WR,193,172,200,0.04,0.16,,185
,Taysom Hill,NO,11,TE,210,183,201,-0.04,0.10,,186
,Zach Evans,LAR,10,RB,200,220,202,0.01,-0.08,,187
,Tank Bigsby,JAC,9,RB,151,157,203,0.34,0.29,,188
,Noah Fant,SEA,5,TE,206,176,205,0.00,0.16,,189
,Jordan Love,GB,6,QB,143,168,206,0.44,0.23,,190
,Hunter Henry,NE,11,TE,206,190,207,0.00,0.09,,191
,Alec Pierce,IND,11,WR,161,160,209,0.30,0.31,,192
,Jelani Woods,IND,11,TE,235,216,210,-0.11,-0.03,17,193
,Chase Edmonds,TB,5,RB,266,200,211,-0.21,0.06,,194
,Ryan Tannehill,TEN,7,QB,198,218,213,0.08,-0.02,,195
,Michael Mayer,LV,13,TE,184,219,214,0.16,-0.02,,196
,Sam Howell,WAS,14,QB,180,215,216,0.20,0.00,,197
,Kyler Murray,ARI,14,QB,151,182,217,0.44,0.19,,198
,Van Jefferson,LAR,10,WR,180,178,218,0.21,0.22,,199
,Pierre Strong,NE,11,RB,218,197,219,0.00,0.11,,200
,Tim Patrick,DEN,9,WR,211,205,223,0.06,0.09,,201
,Hayden Hurst,CAR,7,TE,186,179,224,0.20,0.25,,202
,Isaiah Spiller,LAC,5,RB,255,224,226,-0.11,0.01,,203
,Parris Campbell,NYG,13,WR,183,194,230,0.26,0.19,,204
,Jalin Hyatt,NYG,13,WR,178,203,231,0.30,0.14,18,205
,Chase Brown,CIN,7,RB,189,221,232,0.23,0.05,,206
,Josh Downs,IND,11,WR,216,207,233,0.08,0.13,,207
,Khalil Shakir,BUF,13,WR,224,223,234,0.04,0.05,,208
,Mecole Hardman,NYJ,7,WR,215,198,237,0.10,0.20,,209
,John Metchie,HOU,7,WR,198,185,238,0.20,0.29,,210
,Tyjae Spears,TEN,7,RB,166,213,239,0.44,0.12,,211
,Jimmy Garoppolo,LV,13,QB,176,209,245,0.39,0.17,,212
,Corey Davis,NYJ,7,WR,243,208,249,0.02,0.20,,213
,Darius Slayton,NYG,13,WR,225,180,250,0.11,0.39,,214
,DeVante Parker,NE,11,WR,232,191,252,0.09,0.32,,215
,Russell Gage,TB,5,WR,275,217,254,-0.08,0.17,,216
,Terrace Marshall,CAR,7,WR,234,204,256,0.09,0.25,,217
,Chase Claypool,CHI,13,WR,205,184,257,0.25,0.40,,218
,Rashee Rice,KC,10,WR,164,210,259,0.58,0.23,,219
,Isaiah Likely,BAL,13,TE,216,222,268,0.24,0.21,,220
,Robert Woods,HOU,7,WR,222,199,269,0.21,0.35,,221
,Bryce Young,CAR,7,QB,158,181,276,0.75,0.52,,222
,Mac Jones,NE,11,QB,182,214,290,0.59,0.36,,223
,C.J. Stroud,HOU,7,QB,172,206,304,0.77,0.48,,224
,Israel Abanikanda,NYJ,7,RB,231,225,324,0.40,0.44,,225
