,Name,Team,BYE,Pos,ADP,FantasyPros,YahooXRank,Yahoo!vADP,Yahoo!vFP,Round,Pick
,Christian McCaffrey,SF,9,RB,2,1,1,-0.50,0.00,1,1
,Ja'Marr Chase,CIN,7,WR,2,4,2,0.00,-0.50,,2
,Justin Jefferson,MIN,13,WR,1,2,3,2.00,0.50,,3
,Austin Ekeler,LAC,5,RB,5,3,4,-0.20,0.33,,4
,Jonathan Taylor,IND,11,RB,12,8,5,-0.58,-0.38,,5
,Bijan Robinson,ATL,11,RB,8,5,6,-0.25,0.20,,6
,Saquon Barkley,NYG,13,RB,10,9,7,-0.30,-0.22,,7
,Travis Kelce,KC,10,TE,5,7,8,0.60,0.14,,8
,Cooper Kupp,LAR,10,WR,4,6,9,1.25,0.50,,9
,Tyreek Hill,MIA,10,WR,7,11,10,0.43,-0.09,,10
,Nick Chubb,CLE,5,RB,15,10,11,-0.27,0.10,,11
,Josh Jacobs,LV,13,RB,23,14,12,-0.48,-0.14,,12
,Davante Adams,LV,13,WR,14,19,13,-0.07,-0.32,2,13
,Stefon Diggs,BUF,13,WR,9,15,14,0.56,-0.07,,14
,CeeDee Lamb,DAL,7,WR,11,16,15,0.36,-0.06,,15
,Tony Pollard,DAL,7,RB,21,13,16,-0.24,0.23,,16
,Derrick Henry,TEN,7,RB,21,12,17,-0.19,0.42,,17
,Garrett Wilson,NYJ,7,WR,17,21,18,0.06,-0.14,,18
,A.J. Brown,PHI,10,WR,12,17,19,0.58,0.12,,19
,Breece Hall,NYJ,7,RB,29,22,20,-0.31,-0.09,,20
,Amon-Ra St. Brown,DET,9,WR,16,20,21,0.31,0.05,,21
,Rhamondre Stevenson,NE,11,RB,26,18,22,-0.15,0.22,,22
,Travis Etienne,JAC,9,RB,33,26,23,-0.30,-0.12,,23
,Jaylen Waddle,MIA,10,WR,19,23,24,0.26,0.04,,24
,Najee Harris,PIT,6,RB,29,24,25,-0.14,0.04,3,25
,Tee Higgins,CIN,7,WR,27,29,26,-0.04,-0.10,,26
,DeVonta Smith,PHI,10,WR,25,30,27,0.08,-0.10,,27
,Patrick Mahomes,KC,10,QB,18,32,28,0.56,-0.13,,28
,Chris Olave,NO,11,WR,28,28,29,0.04,0.04,,29
,Mark Andrews,BAL,13,TE,32,25,30,-0.06,0.20,,30
,Jalen Hurts,PHI,10,QB,24,35,31,0.29,-0.11,,31
,Kenneth Walker,SEA,5,RB,40,38,32,-0.20,-0.16,,32
,Josh Allen,BUF,13,QB,20,34,33,0.65,-0.03,,33
,J.K. Dobbins,BAL,13,RB,51,41,34,-0.33,-0.17,,34
,T.J. Hockenson,MIN,13,TE,41,39,35,-0.15,-0.10,,35
,Miles Sanders,CAR,7,RB,60,42,36,-0.40,-0.14,,36
,Aaron Jones,GB,6,RB,45,31,37,-0.18,0.19,4,37
,DK Metcalf,SEA,5,WR,31,36,38,0.23,0.06,,38
,Amari Cooper,CLE,5,WR,37,37,39,0.05,0.05,,39
,Dameon Pierce,HOU,7,RB,55,46,40,-0.27,-0.13,,40
,Cam Akers,LAR,10,RB,60,44,41,-0.32,-0.07,,41
,DeAndre Hopkins,TEN,7,WR,43,78,42,-0.02,-0.46,,42
,Jahmyr Gibbs,DET,9,RB,36,33,43,0.19,0.30,,43
,Deebo Samuel,SF,9,WR,35,43,44,0.26,0.02,,44
,Lamar Jackson,BAL,13,QB,38,51,45,0.18,-0.12,,45
,Keenan Allen,LAC,5,WR,38,40,46,0.21,0.15,,46
,George Kittle,SF,9,TE,57,53,47,-0.18,-0.11,,47
,Tyler Lockett,SEA,5,WR,67,59,48,-0.28,-0.19,,48
,Joe Mixon,CIN,7,RB,44,27,49,0.11,0.81,5,49
,Joe Burrow,CIN,7,QB,33,52,50,0.52,-0.04,,50
,Terry McLaurin,WAS,14,WR,45,48,51,0.13,0.06,,51
,Calvin Ridley,JAC,9,WR,41,45,52,0.27,0.16,,52
,DJ Moore,CHI,13,WR,50,47,53,0.06,0.13,,53
,James Conner,ARI,14,RB,73,54,54,-0.26,0.00,,54
,Drake London,ATL,11,WR,52,55,55,0.06,0.00,,55
,David Montgomery,DET,9,RB,79,63,56,-0.29,-0.11,,56
,Justin Fields,CHI,13,QB,45,60,57,0.27,-0.05,,57
,Dallas Goedert,PHI,10,TE,72,62,58,-0.19,-0.06,,58
,Chris Godwin,TB,5,WR,57,57,59,0.04,0.04,,59
,Isiah Pacheco,KC,10,RB,78,67,60,-0.23,-0.10,,60
,Brandon Aiyuk,SF,9,WR,67,65,61,-0.09,-0.06,6,61
,Alexander Mattison,MIN,13,RB,70,49,62,-0.11,0.27,,62
,Christian Watson,GB,6,WR,52,56,63,0.21,0.13,,63
,Dalvin Cook,FA,-,RB,63,80,64,0.02,-0.20,,64
,Rachaad White,TB,5,RB,69,58,65,-0.06,0.12,,65
,Kyle Pitts,ATL,11,TE,66,61,66,0.00,0.08,,66
,Brian Robinson,WAS,14,RB,98,81,67,-0.32,-0.17,,67
,Mike Williams,LAC,5,WR,56,68,68,0.21,0.00,,68
,Rashaad Penny,PHI,10,RB,114,94,69,-0.39,-0.27,,69
,D'Andre Swift,PHI,10,RB,64,66,70,0.09,0.06,,70
,Jerry Jeudy,DEN,9,WR,49,50,71,0.45,0.42,,71
,Trevor Lawrence,JAC,9,QB,57,75,72,0.26,-0.04,,72
,Diontae Johnson,PIT,6,WR,65,71,73,0.12,0.03,7,73
,Christian Kirk,JAC,9,WR,54,64,74,0.37,0.16,,74
,Michael Pittman,IND,11,WR,62,70,75,0.21,0.07,,75
,Mike Evans,TB,5,WR,70,74,76,0.09,0.03,,76
,Marquise Brown,ARI,14,WR,74,73,77,0.04,0.05,,77
,Justin Herbert,LAC,5,QB,48,69,78,0.63,0.13,,78
,Alvin Kamara,NO,11,RB,90,77,79,-0.12,0.03,,79
,Evan Engram,JAC,9,TE,92,91,80,-0.13,-0.12,,80
,Damien Harris,BUF,13,RB,116,97,81,-0.30,-0.16,,81
,Treylon Burks,TEN,7,WR,80,84,82,0.03,-0.02,,82
,James Cook,BUF,13,RB,84,79,83,-0.01,0.05,,83
,Darren Waller,NYG,13,TE,75,72,84,0.12,0.17,,84
,Pat Freiermuth,PIT,6,TE,99,88,85,-0.14,-0.03,8,85
,Dak Prescott,DAL,7,QB,82,92,86,0.05,-0.07,,86
,Deshaun Watson,CLE,5,QB,76,86,87,0.14,0.01,,87
,Jamaal Williams,NO,11,RB,109,100,88,-0.19,-0.12,,88
,Khalil Herbert,CHI,13,RB,110,90,89,-0.19,-0.01,,89
,AJ Dillon,GB,6,RB,89,83,90,0.01,0.08,,90
,Javonte Williams,DEN,9,RB,81,76,91,0.12,0.20,,91
,Tua Tagovailoa,MIA,10,QB,92,99,92,0.00,-0.07,,92
,Daniel Jones,NYG,13,QB,96,103,93,-0.03,-0.10,,93
,Jahan Dotson,WAS,14,WR,86,82,94,0.09,0.15,,94
,George Pickens,PIT,6,WR,76,89,95,0.25,0.07,,95
,David Njoku,CLE,5,TE,106,96,96,-0.09,0.00,,96
,Jaxon Smith-Njigba,SEA,5,WR,83,93,97,0.17,0.04,9,97
,Jordan Addison,MIN,13,WR,87,87,98,0.13,0.13,,98
,Rashod Bateman,BAL,13,WR,107,106,99,-0.07,-0.07,,99
,Gabe Davis,BUF,13,WR,88,102,100,0.14,-0.02,,100
,Brandin Cooks,DAL,7,WR,92,101,101,0.10,0.00,,101
,Antonio Gibson,WAS,14,RB,97,85,102,0.05,0.20,,102
,Courtland Sutton,DEN,9,WR,91,105,103,0.13,-0.02,,103
,Kadarius Toney,KC,10,WR,85,98,104,0.22,0.06,,104
,Elijah Mitchell,SF,9,RB,123,114,105,-0.15,-0.08,,105
,Elijah Moore,CLE,5,WR,108,115,106,-0.02,-0.08,,106
,Tyler Allgeier,ATL,11,RB,129,126,107,-0.17,-0.15,,107
,Samaje Perine,DEN,9,RB,100,95,108,0.08,0.14,,108
,Jameson Williams,DET,9,WR,113,122,109,-0.04,-0.11,10,109
,Greg Dulcich,DEN,9,TE,131,121,110,-0.16,-0.09,,110
,Chigoziem Okonkwo,TEN,7,TE,124,118,111,-0.10,-0.06,,111
,Geno Smith,SEA,5,QB,103,109,112,0.09,0.03,,112
,Nico Collins,HOU,7,WR,140,127,113,-0.19,-0.11,,113
,D'Onta Foreman,CHI,13,RB,144,137,114,-0.21,-0.17,,114
,Kirk Cousins,MIN,13,QB,95,107,115,0.21,0.07,,115
