,Name,Team,BYE,Pos,ADP,FantasyPros,YahooXRank,Yahoo!vADP,Yahoo!vFP,Round,Pick
,Jonathan Taylor,IND,14,RB,1,1,1,0.00,0.00,1,1
,Justin Jefferson,MIN,7,WR,6,7,2,-0.67,-0.71,,2
,Cooper Kupp,LAR,7,WR,5,6,3,-0.40,-0.50,,3
,Christian McCaffrey,CAR,13,RB,3,2,4,0.33,1.00,,4
,Austin Ekeler,LAC,8,RB,2,3,5,1.50,0.67,,5
,Dalvin Cook,MIN,7,RB,8,4,6,-0.25,0.50,,6
,Derrick Henry,TEN,6,RB,4,5,7,0.75,0.40,,7
,Ja'Marr Chase,CIN,10,WR,9,9,8,-0.11,-0.11,,8
,Najee Harris,PIT,9,RB,7,8,9,0.29,0.13,,9
,Stefon Diggs,BUF,7,WR,12,11,10,-0.17,-0.09,,10
,Aaron Jones,GB,14,RB,17,16,11,-0.35,-0.31,,11
,Joe Mixon,CIN,10,RB,10,10,12,0.20,0.20,,12
,Davante Adams,LV,6,WR,11,14,13,0.18,-0.07,2,13
,CeeDee Lamb,DAL,9,WR,16,15,14,-0.13,-0.07,,14
,Mike Evans,TB,11,WR,26,23,15,-0.42,-0.35,,15
,D'Andre Swift,DET,6,RB,14,13,16,0.14,0.23,,16
,Nick Chubb,CLE,9,RB,15,20,17,0.13,-0.15,,17
,Leonard Fournette,TB,11,RB,24,19,18,-0.25,-0.05,,18
,Travis Kelce,KC,8,TE,13,12,19,0.46,0.58,,19
,Saquon Barkley,NYG,9,RB,21,17,20,-0.05,0.18,,20
,Alvin Kamara,NO,14,RB,19,18,21,0.11,0.17,,21
,Deebo Samuel,SF,9,WR,18,21,22,0.22,0.05,,22
,Tee Higgins,CIN,10,WR,30,27,23,-0.23,-0.15,,23
,Mark Andrews,BAL,10,TE,23,22,24,0.04,0.09,,24
,Javonte Williams,DEN,9,RB,20,24,25,0.25,0.04,3,25
,Tyreek Hill,MIA,11,WR,21,25,26,0.24,0.04,,26
,Michael Pittman,IND,14,WR,38,30,27,-0.29,-0.10,,27
,Ezekiel Elliott,DAL,9,RB,29,31,28,-0.03,-0.10,,28
,DJ Moore,CAR,13,WR,48,33,29,-0.40,-0.12,,29
,Keenan Allen,LAC,8,WR,27,26,30,0.11,0.15,,30
,Breece Hall,NYJ,10,RB,44,36,31,-0.30,-0.14,,31
,Josh Allen,BUF,7,QB,24,32,32,0.33,0.00,,32
,James Conner,ARI,13,RB,31,29,33,0.06,0.14,,33
,A.J. Brown,PHI,7,WR,27,28,34,0.26,0.21,,34
,David Montgomery,CHI,14,RB,33,37,35,0.06,-0.05,,35
,Terry McLaurin,WAS,14,WR,40,39,36,-0.10,-0.08,,36
,Cam Akers,LAR,7,RB,32,34,37,0.16,0.09,4,37
,Elijah Mitchell,SF,9,RB,46,45,38,-0.17,-0.16,,38
,Mike Williams,LAC,8,WR,51,42,39,-0.24,-0.07,,39
,Kyle Pitts,ATL,14,TE,34,35,40,0.18,0.14,,40
,Jaylen Waddle,MIA,11,WR,39,41,41,0.05,0.00,,41
,Diontae Johnson,PIT,9,WR,41,38,42,0.02,0.11,,42
,Antonio Gibson,WAS,14,RB,36,46,43,0.19,-0.07,,43
,Travis Etienne,JAC,11,RB,45,40,44,-0.02,0.10,,44
,Allen Robinson,LAR,7,WR,65,56,45,-0.31,-0.20,,45
,J.K. Dobbins,BAL,10,RB,52,48,46,-0.12,-0.04,,46
,AJ Dillon,GB,14,RB,54,55,47,-0.13,-0.15,,47
,Lamar Jackson,BAL,10,QB,50,53,48,-0.04,-0.09,,48
,Josh Jacobs,LV,6,RB,43,52,49,0.14,-0.06,5,49
,Damien Harris,NE,10,RB,56,64,50,-0.11,-0.22,,50
,George Kittle,SF,9,TE,42,49,51,0.21,0.04,,51
,Darren Waller,LV,6,TE,49,54,52,0.06,-0.04,,52
,Courtland Sutton,DEN,9,WR,57,44,53,-0.07,0.20,,53
,Justin Herbert,LAC,8,QB,37,43,54,0.46,0.26,,54
,Patrick Mahomes,KC,8,QB,34,51,55,0.62,0.08,,55
,Brandin Cooks,HOU,6,WR,60,47,56,-0.07,0.19,,56
,JuJu Smith-Schuster,KC,8,WR,76,76,57,-0.25,-0.25,,57
,Devin Singletary,BUF,7,RB,78,81,58,-0.26,-0.28,,58
,Dalton Schultz,DAL,9,TE,64,66,59,-0.08,-0.11,,59
,Miles Sanders,PHI,7,RB,68,62,60,-0.12,-0.03,,60
,Gabriel Davis,BUF,7,WR,71,68,61,-0.14,-0.10,6,61
,DK Metcalf,SEA,11,WR,47,50,62,0.32,0.24,,62
,Jerry Jeudy,DEN,9,WR,57,59,63,0.11,0.07,,63
,Marquise Brown,ARI,13,WR,57,57,64,0.12,0.12,,64
,Joe Burrow,CIN,10,QB,53,74,65,0.23,-0.12,,65
,Amon-Ra St. Brown,DET,6,WR,70,77,66,-0.06,-0.14,,66
,Rashod Bateman,BAL,10,WR,87,63,67,-0.23,0.06,,67
,Rashaad Penny,SEA,11,RB,81,72,68,-0.16,-0.06,,68
,Chase Edmonds,MIA,11,RB,91,75,69,-0.24,-0.08,,69
,Jalen Hurts,PHI,7,QB,67,65,70,0.04,0.08,,70
,Kyler Murray,ARI,13,QB,55,60,71,0.29,0.18,,71
