,Name,Team,BYE,Pos,ADP,FantasyPros,YahooXRank,Yahoo!vADP,Yahoo!vFP,Round,Pick
,Amari Cooper,CLE,9,WR,63,58,72,0.14,0.24,,72
,Clyde Edwards-Helaire,KC,8,RB,61,70,73,0.20,0.04,7,73
,Darnell Mooney,CHI,14,WR,74,61,74,0.00,0.21,,74
,Tom Brady,TB,11,QB,82,82,75,-0.09,-0.09,,75
,Elijah Moore,NYJ,10,WR,85,73,76,-0.11,0.04,,76
,Rhamondre Stevenson,NE,10,RB,97,88,77,-0.21,-0.13,,77
,Melvin Gordon,DEN,9,RB,94,84,78,-0.17,-0.07,,78
,Dallas Goedert,PHI,7,TE,76,86,79,0.04,-0.08,,79
,Tony Pollard,DAL,9,RB,83,78,80,-0.04,0.03,,80
,Russell Wilson,DEN,9,QB,75,87,81,0.08,-0.07,,81
,Kareem Hunt,CLE,9,RB,78,71,82,0.05,0.15,,82
,Michael Thomas,NO,14,WR,68,69,83,0.22,0.20,,83
,T.J. Hockenson,DET,6,TE,62,80,84,0.35,0.05,,84
,Adam Thielen,MIN,7,WR,72,79,85,0.18,0.08,8,85
,Brandon Aiyuk,SF,9,WR,98,91,86,-0.12,-0.05,,86
,Hunter Renfrow,LV,6,WR,80,93,87,0.09,-0.06,,87
,Cordarrelle Patterson,ATL,14,RB,87,83,88,0.01,0.06,,88
,Dawson Knox,BUF,7,TE,92,102,89,-0.03,-0.13,,89
,Ken Walker,SEA,11,RB,89,90,90,0.01,0.00,,90
,Dak Prescott,DAL,9,QB,73,85,91,0.25,0.07,,91
,Trey Lance,SF,9,QB,99,97,92,-0.07,-0.05,,92
,Matthew Stafford,LAR,7,QB,84,96,93,0.11,-0.03,,93
,Zach Ertz,ARI,13,TE,95,92,94,-0.01,0.02,,94
,James Cook,BUF,7,RB,104,104,95,-0.09,-0.09,,95
,DeVonta Smith,PHI,7,WR,90,89,96,0.07,0.08,,96
,Tyler Lockett,SEA,11,WR,96,95,97,0.01,0.02,9,97
,Allen Lazard,GB,14,WR,105,98,98,-0.07,0.00,,98
,Russell Gage,TB,11,WR,109,117,99,-0.09,-0.15,,99
,Christian Kirk,JAC,11,WR,105,99,100,-0.05,0.01,,100
,Kirk Cousins,MIN,7,QB,113,109,101,-0.11,-0.07,,101
,Darrell Henderson,LAR,7,RB,116,112,102,-0.12,-0.09,,102
,Aaron Rodgers,GB,14,QB,93,100,103,0.11,0.03,,103
,Chris Godwin,TB,11,WR,65,67,104,0.60,0.55,,104
,Derek Carr,LV,6,QB,102,108,105,0.03,-0.03,,105
,James Robinson,JAC,11,RB,107,118,106,-0.01,-0.10,,106
,Pat Freiermuth,PIT,9,TE,114,111,107,-0.06,-0.04,,107
,Alexander Mattison,MIN,7,RB,112,113,108,-0.04,-0.04,,108
,Chase Claypool,PIT,9,WR,111,110,109,-0.02,-0.01,10,109
,Albert Okwuegbunam,DEN,9,TE,138,143,110,-0.20,-0.23,,110
,Nyheim Hines,IND,14,RB,121,123,111,-0.08,-0.10,,111
,Robert Woods,TEN,6,WR,100,103,112,0.12,0.09,,112
,Drake London,ATL,14,WR,102,94,113,0.11,0.20,,113
,Michael Carter,NYJ,10,RB,101,107,114,0.13,0.07,,114
,Kadarius Toney,NYG,9,WR,118,106,115,-0.03,0.08,,115
,DeAndre Hopkins,ARI,13,WR,86,101,116,0.35,0.15,,116
,Jamaal Williams,DET,6,RB,146,140,117,-0.20,-0.16,,117
,Justin Fields,CHI,14,QB,131,129,118,-0.10,-0.09,,118
,Tua Tagovailoa,MIA,11,QB,120,128,119,-0.01,-0.07,,119
,Dameon Pierce,HOU,6,RB,122,126,120,-0.02,-0.05,,120
,Chris Olave,NO,14,WR,115,116,121,0.05,0.04,11,121
,Cole Kmet,CHI,14,TE,132,114,122,-0.08,0.07,,122
,Trevor Lawrence,JAC,11,QB,143,141,123,-0.14,-0.13,,123
,Tyler Boyd,CIN,10,WR,124,120,124,0.00,0.03,,124
,Treylon Burks,TEN,6,WR,117,105,125,0.07,0.19,,125
,David Njoku,CLE,9,TE,161,150,126,-0.22,-0.16,,126
,Hunter Henry,NE,10,TE,157,122,127,-0.19,0.04,,127
,Irv Smith,MIN,7,TE,150,135,128,-0.15,-0.05,,128
,Mike Gesicki,MIA,11,TE,108,121,129,0.19,0.07,,129
,DeVante Parker,NE,10,WR,135,134,130,-0.04,-0.03,,130
,Isaiah Spiller,LAC,8,RB,119,131,131,0.10,0.00,,131
,Ronald Jones,KC,8,RB,110,115,132,0.20,0.15,,132
,Kenneth Gainwell,PHI,7,RB,132,127,133,0.01,0.05,12,133
,Rachaad White,TB,11,RB,128,156,134,0.05,-0.14,,134
,Raheem Mostert,MIA,11,RB,127,139,136,0.07,-0.02,,135
,Matt Ryan,IND,14,QB,151,152,137,-0.09,-0.10,,136
,Daniel Jones,NYG,9,QB,213,167,138,-0.35,-0.17,,137
,Tyler Allgeier,ATL,14,RB,136,148,139,0.02,-0.06,,138
,Kenny Golladay,NYG,9,WR,139,133,140,0.01,0.05,,139
,Khalil Herbert,CHI,14,RB,149,146,141,-0.05,-0.03,,140
,Jakobi Meyers,NE,10,WR,137,124,142,0.04,0.15,,141
,Marquez Valdes-Scantling,KC,8,WR,125,130,143,0.14,0.10,,142
,J.D. McKissic,WAS,14,RB,129,136,144,0.12,0.06,,143
,Tyler Higbee,LAR,7,TE,189,145,145,-0.23,0.00,,144
,Jarvis Landry,NO,14,WR,126,132,147,0.17,0.11,13,145
,Brian Robinson,WAS,14,RB,170,180,149,-0.12,-0.17,,146
,Gerald Everett,LAC,8,TE,177,149,150,-0.15,0.01,,147
,Austin Hooper,TEN,6,TE,194,163,151,-0.22,-0.07,,148
,Jared Goff,DET,6,QB,196,187,152,-0.22,-0.19,,149
,Skyy Moore,KC,8,WR,134,125,153,0.14,0.22,,150
,D'Onta Foreman,CAR,13,RB,168,173,154,-0.08,-0.11,,151
,Marlon Mack,HOU,6,RB,130,162,155,0.19,-0.04,,152
,Evan Engram,JAC,11,TE,172,154,156,-0.09,0.01,,153
,Rondale Moore,ARI,13,WR,155,142,157,0.01,0.11,,154
,Jameis Winston,NO,14,QB,163,151,158,-0.03,0.05,,155
,Robert Tonyan,GB,14,TE,170,147,159,-0.06,0.08,,156
,Nico Collins,HOU,6,WR,226,172,160,-0.29,-0.07,14,157
,Julio Jones,TB,11,WR,148,160,161,0.09,0.01,,158
,Garrett Wilson,NYJ,10,WR,123,119,162,0.32,0.36,,159
,DJ Chark,DET,6,WR,152,144,164,0.08,0.14,,160
,Mac Jones,NE,10,QB,153,166,165,0.08,-0.01,,161
,Mecole Hardman,KC,8,WR,147,165,168,0.14,0.02,,162
,Jalen Tolbert,DAL,9,WR,164,196,171,0.04,-0.13,,163
,Ryan Tannehill,TEN,6,QB,160,153,173,0.08,0.13,,164
,Sony Michel,MIA,11,RB,165,159,175,0.06,0.10,,165
,Corey Davis,NYJ,10,WR,174,161,176,0.01,0.09,,166
,Darrel Williams,ARI,13,RB,158,158,177,0.12,0.12,,167
,K.J. Osborn,MIN,7,WR,169,178,178,0.05,0.00,,168
,Noah Fant,SEA,11,TE,159,137,179,0.13,0.31,15,169
,Samaje Perine,CIN,10,RB,222,209,180,-0.19,-0.14,,170
,Robbie Anderson,CAR,13,WR,184,164,181,-0.02,0.10,,171
,Kendrick Bourne,NE,10,WR,233,182,183,-0.21,0.01,,172
,George Pickens,PIT,9,WR,154,181,185,0.20,0.02,,173
,Mo Alie-Cox,IND,14,TE,258,224,186,-0.28,-0.17,,174
,Hayden Hurst,CIN,10,TE,192,183,187,-0.03,0.02,,175
,Carson Wentz,WAS,14,QB,176,185,189,0.07,0.02,,176
,Parris Campbell,IND,14,WR,232,190,190,-0.18,0.00,,177
,Mark Ingram,NO,14,RB,145,174,192,0.32,0.10,,178
,Van Jefferson,LAR,7,WR,162,170,195,0.20,0.15,,179
,Jahan Dotson,WAS,14,WR,166,157,197,0.19,0.25,,180
,Isaiah McKenzie,BUF,7,WR,241,214,198,-0.18,-0.07,16,181
,Marcus Mariota,ATL,14,QB,241,216,199,-0.17,-0.08,,182
,Boston Scott,PHI,7,RB,234,194,200,-0.15,0.03,,183
,Tyrion Davis-Price,SF,9,RB,180,207,201,0.12,-0.03,,184
,D'Ernest Johnson,CLE,9,RB,198,212,202,0.02,-0.05,,185
,Wan'Dale Robinson,NYG,9,WR,199,192,203,0.02,0.06,,186
,Deshaun Watson,CLE,9,QB,140,189,204,0.46,0.08,,187
,David Bell,CLE,9,WR,210,197,205,-0.02,0.04,,188
,Gus Edwards,BAL,10,RB,144,155,207,0.44,0.34,,189
,Davis Mills,HOU,6,QB,189,201,209,0.11,0.04,,190
,Zach Wilson,NYJ,10,QB,173,169,210,0.21,0.24,,191
,Marvin Jones,JAC,11,WR,195,175,211,0.08,0.21,,192
,Michael Gallup,DAL,9,WR,142,138,215,0.51,0.56,17,193
,Joshua Palmer,LAC,8,WR,167,177,217,0.30,0.23,,194
,Curtis Samuel,WAS,14,WR,174,186,218,0.25,0.17,,195
,Zamir White,LV,6,RB,188,193,219,0.16,0.13,,196
,Myles Gaskin,MIA,11,RB,203,218,220,0.08,0.01,,197
,Jerick McKinnon,KC,8,RB,235,220,222,-0.06,0.01,,198
,Christian Watson,GB,14,WR,141,176,223,0.58,0.27,,199
,Donovan Peoples-Jones,CLE,9,WR,186,184,224,0.20,0.22,,200
,Jeff Wilson,SF,9,RB,214,217,225,0.05,0.04,,201
,Trey Sermon,SF,9,RB,197,221,226,0.15,0.02,,202
,Baker Mayfield,CAR,13,QB,183,199,230,0.26,0.16,,203
,KJ Hamler,DEN,9,WR,226,191,234,0.04,0.23,,204
,Sterling Shepard,NYG,9,WR,231,195,240,0.04,0.23,18,205
,Brevin Jordan,HOU,6,TE,230,200,246,0.07,0.23,,206
,William Fuller,FA,-,WR,201,225,247,0.23,0.10,,207
,Kenyan Drake,LV,6,RB,185,188,250,0.35,0.33,,208
,Braxton Berrios,NYJ,10,WR,315,219,252,-0.20,0.15,,209
,Terrace Marshall,CAR,13,WR,218,206,253,0.16,0.23,,210
,Jameson Williams,DET,6,WR,156,168,254,0.63,0.51,,211
,A.J. Green,ARI,13,WR,251,198,255,0.02,0.29,,212
,Jamison Crowder,BUF,7,WR,187,179,259,0.39,0.45,,213
,Mitch Trubisky,PIT,9,QB,252,222,261,0.04,0.18,,214
,Byron Pringle,CHI,14,WR,265,210,263,-0.01,0.25,,215
,Zay Jones,JAC,11,WR,274,215,264,-0.04,0.23,,216
,Laviska Shenault,JAC,11,WR,217,203,268,0.24,0.32,,217
,James White,NE,10,RB,220,205,272,0.24,0.33,,218
,Bryan Edwards,ATL,14,WR,280,223,274,-0.02,0.23,,219
,Alec Pierce,IND,14,WR,178,208,276,0.55,0.33,,220
,Adam Trautman,NO,14,TE,245,213,283,0.16,0.33,,221
,Logan Thomas,WAS,14,TE,208,171,285,0.37,0.67,,222
,Jonnu Smith,NE,10,TE,266,211,289,0.09,0.37,,223
,Chuba Hubbard,CAR,13,RB,182,202,340,0.87,0.68,,224
