,Name,Team,BYE,Pos,ADP,FantasyPros,YahooXRank,Yahoo!vADP,Yahoo!vFP,Round,Pick
,Justin Jefferson,MIN,13,WR,1,1,1,0.00,0.00,1,1
,Christian McCaffrey,SF,9,RB,2,2,2,0.00,0.00,,2
,Ja'Marr Chase,CIN,7,WR,3,3,3,0.00,0.00,,3
,Austin Ekeler,LAC,5,RB,4,4,4,0.00,0.00,,4
,Cooper Kupp,LAR,10,WR,6,5,5,-0.17,0.00,,5
,Tyreek Hill,MIA,10,WR,7,7,6,-0.14,-0.14,,6
,Nick Chubb,CLE,5,RB,10,9,7,-0.30,-0.22,,7
,Bijan Robinson,ATL,11,RB,9,8,8,-0.11,0.00,,8
,Stefon Diggs,BUF,13,WR,11,10,9,-0.18,-0.10,,9
,Travis Kelce,KC,10,TE,5,6,10,1.00,0.67,,10
,Saquon Barkley,NYG,13,RB,8,11,11,0.38,0.00,,11
,Tony Pollard,DAL,7,RB,17,13,12,-0.29,-0.08,,12
,CeeDee Lamb,DAL,7,WR,12,12,13,0.08,0.08,2,13
,A.J. Brown,PHI,10,WR,13,15,14,0.08,-0.07,,14
,Derrick Henry,TEN,7,RB,16,14,15,-0.06,0.07,,15
,Jonathan Taylor,IND,11,RB,15,18,16,0.07,-0.11,,16
,Davante Adams,LV,13,WR,17,16,17,0.00,0.06,,17
,Amon-Ra St. Brown,DET,9,WR,19,17,18,-0.05,0.06,,18
,Garrett Wilson,NYJ,7,WR,20,19,19,-0.05,0.00,,19
,Josh Jacobs,LV,13,RB,22,20,20,-0.09,0.00,,20
,Jaylen Waddle,MIA,10,WR,24,21,21,-0.13,0.00,,21
,Najee Harris,PIT,6,RB,26,24,22,-0.15,-0.08,,22
,Chris Olave,NO,11,WR,28,22,23,-0.18,0.05,,23
,Travis Etienne,JAC,9,RB,30,30,24,-0.20,-0.20,,24
,DeVonta Smith,PHI,10,WR,27,23,25,-0.07,0.09,3,25
,Aaron Jones,GB,6,RB,39,33,26,-0.33,-0.21,,26
,Joe Mixon,CIN,7,RB,37,25,27,-0.27,0.08,,27
,Rhamondre Stevenson,NE,11,RB,25,32,28,0.12,-0.13,,28
,Jalen Hurts,PHI,10,QB,22,26,29,0.32,0.12,,29
,Patrick Mahomes,KC,10,QB,14,27,30,1.14,0.11,,30
,Tee Higgins,CIN,7,WR,31,28,31,0.00,0.11,,31
,DK Metcalf,SEA,5,WR,36,35,32,-0.11,-0.09,,32
,Josh Allen,BUF,13,QB,21,31,33,0.57,0.06,,33
,Jahmyr Gibbs,DET,9,RB,35,34,34,-0.03,0.00,,34
,Breece Hall,NYJ,7,RB,32,40,35,0.09,-0.13,,35
,Mark Andrews,BAL,13,TE,28,29,36,0.29,0.24,,36
,Amari Cooper,CLE,5,WR,42,38,37,-0.12,-0.03,4,37
,Calvin Ridley,JAC,9,WR,41,39,38,-0.07,-0.03,,38
,J.K. Dobbins,BAL,13,RB,52,48,39,-0.25,-0.19,,39
,Kenneth Walker,SEA,5,RB,38,37,40,0.05,0.08,,40
,Cam Akers,LAR,10,RB,55,46,41,-0.25,-0.11,,41
,Dameon Pierce,HOU,7,RB,44,47,42,-0.05,-0.11,,42
,T.J. Hockenson,MIN,13,TE,43,44,43,0.00,-0.02,,43
,Lamar Jackson,BAL,13,QB,33,43,44,0.33,0.02,,44
,Deebo Samuel,SF,9,WR,39,42,45,0.15,0.07,,45
,Miles Sanders,CAR,7,RB,48,41,46,-0.04,0.12,,46
,Tyler Lockett,SEA,5,WR,66,61,47,-0.29,-0.23,,47
,Alexander Mattison,MIN,13,RB,56,45,48,-0.14,0.07,,48
,Terry McLaurin,WAS,14,WR,50,49,49,-0.02,0.00,5,49
,Drake London,ATL,11,WR,59,53,50,-0.15,-0.06,,50
,Keenan Allen,LAC,5,WR,45,36,51,0.13,0.42,,51
,Brandon Aiyuk,SF,9,WR,70,60,52,-0.26,-0.13,,52
,George Kittle,SF,9,TE,49,55,53,0.08,-0.04,,53
,Justin Fields,CHI,13,QB,47,54,54,0.15,0.00,,54
,DeAndre Hopkins,TEN,7,WR,50,57,55,0.10,-0.04,,55
,James Conner,ARI,14,RB,58,58,56,-0.03,-0.03,,56
,DJ Moore,CHI,13,WR,53,51,57,0.08,0.12,,57
,Diontae Johnson,PIT,6,WR,81,67,58,-0.28,-0.13,,58
,Jerry Jeudy,DEN,9,WR,56,50,59,0.05,0.18,,59
,Joe Burrow,CIN,7,QB,34,52,60,0.76,0.15,,60
,Chris Godwin,TB,5,WR,64,59,61,-0.05,0.03,6,61
,David Montgomery,DET,9,RB,75,66,62,-0.17,-0.06,,62
,Christian Watson,GB,6,WR,60,56,63,0.05,0.13,,63
,Michael Pittman,IND,11,WR,76,75,64,-0.16,-0.15,,64
,James Cook,BUF,13,RB,78,64,65,-0.17,0.02,,65
,Javonte Williams,DEN,9,RB,68,73,66,-0.03,-0.10,,66
,Kyle Pitts,ATL,11,TE,61,71,67,0.10,-0.06,,67
,Dallas Goedert,PHI,10,TE,61,76,68,0.11,-0.11,,68
,Mike Evans,TB,5,WR,79,70,69,-0.13,-0.01,,69
,Trevor Lawrence,JAC,9,QB,54,72,70,0.30,-0.03,,70
,Christian Kirk,JAC,9,WR,74,65,71,-0.04,0.09,,71
,Marquise Brown,ARI,14,WR,83,74,72,-0.13,-0.03,,72
,Rachaad White,TB,5,RB,72,68,73,0.01,0.07,7,73
,Mike Williams,LAC,5,WR,69,63,74,0.07,0.17,,74
,Justin Herbert,LAC,5,QB,46,62,75,0.63,0.21,,75
,Isiah Pacheco,KC,10,RB,73,77,76,0.04,-0.01,,76
,Alvin Kamara,NO,11,RB,66,79,77,0.17,-0.03,,77
,Darren Waller,NYG,13,TE,61,69,78,0.28,0.13,,78
,Dalvin Cook,NYJ,7,RB,70,78,79,0.13,0.01,,79
,Khalil Herbert,CHI,13,RB,96,81,80,-0.17,-0.01,,80
,Pat Freiermuth,PIT,6,TE,85,92,81,-0.05,-0.12,,81
,Jahan Dotson,WAS,14,WR,91,82,82,-0.10,0.00,,82
,AJ Dillon,GB,6,RB,87,89,83,-0.05,-0.07,,83
,Gabe Davis,BUF,13,WR,97,86,84,-0.13,-0.02,,84
,Jaxon Smith-Njigba,SEA,5,WR,88,84,85,-0.03,0.01,8,85
,D'Andre Swift,PHI,10,RB,65,80,86,0.32,0.08,,86
,Antonio Gibson,WAS,14,RB,94,90,87,-0.07,-0.03,,87
,George Pickens,PIT,6,WR,84,83,88,0.05,0.06,,88
,Jamaal Williams,NO,11,RB,95,104,89,-0.06,-0.14,,89
,Brian Robinson,WAS,14,RB,90,88,90,0.00,0.02,,90
,Evan Engram,JAC,9,TE,80,91,91,0.14,0.00,,91
,Daniel Jones,NYG,13,QB,103,94,92,-0.11,-0.02,,92
,Jordan Addison,MIN,13,WR,89,87,93,0.04,0.07,,93
,Deshaun Watson,CLE,5,QB,81,85,94,0.16,0.11,,94
,Dak Prescott,DAL,7,QB,77,96,95,0.23,-0.01,,95
,Kenneth Gainwell,PHI,10,RB,169,131,96,-0.43,-0.27,,96
,Treylon Burks,TEN,7,WR,99,93,97,-0.02,0.04,9,97
,Rashaad Penny,PHI,10,RB,92,112,98,0.07,-0.13,,98
,Elijah Moore,CLE,5,WR,111,101,99,-0.11,-0.02,,99
,Tua Tagovailoa,MIA,10,QB,86,102,100,0.16,-0.02,,100
,Rashod Bateman,BAL,13,WR,131,109,101,-0.23,-0.07,,101
,Zach Charbonnet,SEA,5,RB,108,99,102,-0.06,0.03,,102
,Samaje Perine,DEN,9,RB,104,97,103,-0.01,0.06,,103
,Brandin Cooks,DAL,7,WR,98,95,104,0.06,0.09,,104
,Geno Smith,SEA,5,QB,109,103,105,-0.04,0.02,,105
,David Njoku,CLE,5,TE,93,100,106,0.14,0.06,,106
,Damien Harris,BUF,13,RB,105,123,107,0.02,-0.13,,107
,Michael Thomas,NO,11,WR,102,107,108,0.06,0.01,,108
,Courtland Sutton,DEN,9,WR,112,98,109,-0.03,0.11,10,109
,Anthony Richardson,IND,11,QB,109,110,110,0.01,0.00,,110
,Elijah Mitchell,SF,9,RB,114,122,111,-0.03,-0.09,,111
,Jerick McKinnon,KC,10,RB,118,115,112,-0.05,-0.03,,112
,Aaron Rodgers,NYJ,7,QB,100,124,113,0.13,-0.09,,113
,Nico Collins,HOU,7,WR,150,121,114,-0.24,-0.06,,114
,JuJu Smith-Schuster,NE,11,WR,115,106,115,0.00,0.08,,115
,Chigoziem Okonkwo,TEN,7,TE,123,128,116,-0.06,-0.09,,116
,Skyy Moore,KC,10,WR,127,111,117,-0.08,0.05,,117
,Kirk Cousins,MIN,13,QB,101,108,118,0.17,0.09,,118
,Jakobi Meyers,LV,13,WR,143,114,119,-0.17,0.04,,119
,Tyler Allgeier,ATL,11,RB,128,125,120,-0.06,-0.04,,120
,Quentin Johnston,LAC,5,WR,122,117,121,-0.01,0.03,11,121
,Tyler Higbee,LAR,10,TE,146,120,122,-0.16,0.02,,122
,Dalton Kincaid,BUF,13,TE,126,149,123,-0.02,-0.17,,123
,De'Von Achane,MIA,10,RB,113,113,124,0.10,0.10,,124
,Sam LaPorta,DET,9,TE,147,151,125,-0.15,-0.17,,125
,Ezekiel Elliott,NE,11,RB,133,164,126,-0.05,-0.23,,126
,Zay Flowers,BAL,13,WR,115,105,127,0.10,0.21,,127
,Odell Beckham,BAL,13,WR,107,116,128,0.20,0.10,,128
,Tank Bigsby,JAC,9,RB,139,142,129,-0.07,-0.09,,129
,Allen Lazard,NYJ,7,WR,125,126,130,0.04,0.03,,130
,Jeff Wilson,MIA,10,RB,156,134,131,-0.16,-0.02,,131
,Tyler Boyd,CIN,7,WR,145,135,132,-0.09,-0.02,,132
,Kadarius Toney,KC,10,WR,105,119,133,0.27,0.12,12,133
,Cole Kmet,CHI,13,TE,119,136,134,0.13,-0.01,,134
,Adam Thielen,CAR,7,WR,131,144,135,0.03,-0.06,,135
,Jared Goff,DET,9,QB,117,127,136,0.16,0.07,,136
,Brock Purdy,SF,9,QB,148,158,137,-0.07,-0.13,,137
,Raheem Mostert,MIA,10,RB,136,140,138,0.01,-0.01,,138
,Greg Dulcich,DEN,9,TE,120,137,139,0.16,0.01,,139
,Darnell Mooney,CHI,13,WR,155,129,140,-0.10,0.09,,140
,Marvin Mims,DEN,9,WR,201,157,141,-0.30,-0.10,,141
,Dalton Schultz,HOU,7,TE,121,118,142,0.17,0.20,,142
,Jaylen Warren,PIT,6,RB,141,130,143,0.01,0.10,,143
,D'Onta Foreman,CHI,13,RB,134,147,144,0.07,-0.02,,144
,Gerald Everett,LAC,5,TE,171,145,145,-0.15,0.00,13,145
,Michael Gallup,DAL,7,WR,159,148,146,-0.08,-0.01,,146
,Jameson Williams,DET,9,WR,124,132,148,0.19,0.12,,147
,Zamir White,LV,13,RB,178,166,149,-0.16,-0.10,,148
,DJ Chark,CAR,7,WR,166,146,150,-0.10,0.03,,149
,Gus Edwards,BAL,13,RB,171,159,153,-0.11,-0.04,,150
,Romeo Doubs,GB,6,WR,138,133,154,0.12,0.16,,151
,Devin Singletary,HOU,7,RB,130,141,155,0.19,0.10,,152
,Russell Wilson,DEN,9,QB,135,139,156,0.16,0.12,,153
,Jerome Ford,CLE,5,RB,177,168,158,-0.11,-0.06,,154
,Hunter Henry,NE,11,TE,188,173,159,-0.15,-0.08,,155
