,Name,Team,BYE,Pos,ADP,FantasyPros,YahooXRank,Yahoo!vADP,Yahoo!vFP,Round,Pick
,Mike Gesicki,NE,11,TE,182,165,159,-0.13,-0.04,,156
,Juwan Johnson,NO,11,TE,179,163,160,-0.11,-0.02,14,157
,Zamir White,LV,13,RB,195,186,162,-0.17,-0.13,,158
,Jonathan Mingo,CAR,7,WR,173,161,163,-0.06,0.01,,159
,Cordarrelle Patterson,ATL,11,RB,168,188,164,-0.02,-0.13,,160
,Gus Edwards,BAL,13,RB,180,155,166,-0.08,0.07,,161
,Irv Smith,CIN,7,TE,170,160,167,-0.02,0.04,,162
,Derek Carr,NO,11,QB,163,154,168,0.03,0.09,,163
,Dawson Knox,BUF,13,TE,186,183,169,-0.09,-0.08,,164
,Trey McBride,ARI,14,TE,219,178,170,-0.22,-0.04,,165
,Romeo Doubs,GB,6,WR,139,141,171,0.23,0.21,,166
,Jayden Reed,GB,6,WR,191,181,172,-0.10,-0.05,,167
,Tank Bigsby,JAC,9,RB,148,145,173,0.17,0.19,,168
,Jerome Ford,CLE,5,RB,158,164,174,0.10,0.06,15,169
,Michael Carter,NYJ,7,RB,200,172,175,-0.13,0.02,,170
,Wan'Dale Robinson,NYG,13,WR,198,201,176,-0.11,-0.12,,171
,Roschon Johnson,CHI,13,RB,151,157,179,0.19,0.14,,172
,Hunter Renfrow,LV,13,WR,207,187,180,-0.13,-0.04,,173
,Matthew Stafford,LAR,10,QB,167,153,181,0.08,0.18,,174
,Curtis Samuel,WAS,14,WR,201,156,183,-0.09,0.17,,175
,Brock Purdy,SF,9,QB,138,190,184,0.33,-0.03,,176
,Kenny Pickett,PIT,6,QB,140,168,186,0.33,0.11,,177
,Kareem Hunt,FA,-,RB,161,210,187,0.16,-0.11,,178
,Allen Robinson,PIT,6,WR,245,215,188,-0.23,-0.13,,179
,K.J. Osborn,MIN,13,WR,158,166,190,0.20,0.14,,180
,Joshua Kelley,LAC,5,RB,215,193,191,-0.11,-0.01,16,181
,Khalil Shakir,BUF,13,WR,259,216,192,-0.26,-0.11,,182
,Taysom Hill,NO,11,TE,165,197,193,0.17,-0.02,,183
,Hayden Hurst,CAR,7,TE,197,184,194,-0.02,0.05,,184
,Jordan Love,GB,6,QB,149,167,195,0.31,0.17,,185
,Tyler Conklin,NYJ,7,TE,206,223,196,-0.05,-0.12,,186
,DeVante Parker,NE,11,WR,225,173,199,-0.12,0.15,,187
,Marquez Valdes-Scantling,KC,10,WR,202,177,200,-0.01,0.13,,188
,Joshua Palmer,LAC,5,WR,242,206,201,-0.17,-0.02,,189
,Tyjae Spears,TEN,7,RB,156,174,202,0.29,0.16,,190
,Chase Brown,CIN,7,RB,184,189,204,0.11,0.08,,191
,Ryan Tannehill,TEN,7,QB,189,200,207,0.10,0.04,,192
,Zach Ertz,ARI,14,TE,199,224,210,0.06,-0.06,17,193
,Alec Pierce,IND,11,WR,175,158,211,0.21,0.34,,194
,Sam Howell,WAS,14,QB,196,209,212,0.08,0.01,,195
,Michael Mayer,LV,13,TE,173,207,213,0.23,0.03,,196
,Hunter Henry,NE,11,TE,192,182,215,0.12,0.18,,197
,Van Jefferson,LAR,10,WR,187,171,216,0.16,0.26,,198
,Marvin Mims,DEN,9,WR,190,191,218,0.15,0.14,,199
,Kyler Murray,ARI,14,QB,165,205,219,0.33,0.07,,200
,Noah Fant,SEA,5,TE,231,198,221,-0.04,0.12,,201
,Isaiah Hodgins,NYG,13,WR,202,169,223,0.10,0.32,,202
,Josh Downs,IND,11,WR,239,225,224,-0.06,0.00,,203
,Pierre Strong,NE,11,RB,228,208,227,0.00,0.09,,204
,Chase Edmonds,TB,5,RB,233,213,229,-0.02,0.08,18,205
,Parris Campbell,NYG,13,WR,194,185,231,0.19,0.25,,206
,Jalin Hyatt,NYG,13,WR,150,203,232,0.55,0.14,,207
,Tyquan Thornton,NE,11,WR,255,199,233,-0.09,0.17,,208
,Bryce Young,CAR,7,QB,136,176,239,0.76,0.36,,209
,Jimmy Garoppolo,LV,13,QB,177,214,242,0.37,0.13,,210
,John Metchie,HOU,7,WR,188,179,244,0.30,0.36,,211
,Darius Slayton,NYG,13,WR,244,194,245,0.00,0.26,,212
,Mecole Hardman,NYJ,7,WR,227,195,246,0.08,0.26,,213
,Corey Davis,NYJ,7,WR,261,204,248,-0.05,0.22,,214
,Cade Otton,TB,5,TE,235,219,250,0.06,0.14,,215
,Jelani Woods,IND,11,TE,232,211,252,0.09,0.19,,216
,Rashee Rice,KC,10,WR,176,180,253,0.44,0.41,,217
,Russell Gage,TB,5,WR,275,217,255,-0.07,0.18,,218
,Terrace Marshall,CAR,7,WR,251,221,257,0.02,0.16,,219
,Chase Claypool,CHI,13,WR,229,202,258,0.13,0.28,,220
,Isaiah Likely,BAL,13,TE,223,218,268,0.20,0.23,,221
,Robert Woods,HOU,7,WR,239,192,269,0.13,0.40,,222
,Richie James,KC,10,WR,234,220,287,0.23,0.30,,223
,Mac Jones,NE,11,QB,181,212,293,0.62,0.38,,224
,C.J. Stroud,HOU,7,QB,152,222,320,1.11,0.44,,225
