,Name,Team,BYE,Pos,ADP,FantasyPros,YahooXRank,Yahoo!vADP,Yahoo!vFP,Round,Pick
,Justin Jefferson,MIN,13,WR,1,1,1,0.00,0.00,1,1
,Christian McCaffrey,SF,9,RB,2,2,2,0.00,0.00,,2
,Ja'Marr Chase,CIN,7,WR,3,3,3,0.00,0.00,,3
,Cooper Kupp,LAR,10,WR,5,5,4,-0.20,-0.20,,4
,Austin Ekeler,LAC,5,RB,4,4,5,0.25,0.25,,5
,Jonathan Taylor,IND,11,RB,14,13,6,-0.57,-0.54,,6
,Tyreek Hill,MIA,10,WR,7,8,7,0.00,-0.13,,7
,Bijan Robinson,ATL,11,RB,8,6,8,0.00,0.33,,8
,Travis Kelce,KC,10,TE,5,7,9,0.80,0.29,,9
,Nick Chubb,CLE,5,RB,10,9,10,0.00,0.11,,10
,Stefon Diggs,BUF,13,WR,11,11,11,0.00,0.00,,11
,Saquon Barkley,NYG,13,RB,8,10,12,0.50,0.20,,12
,Tony Pollard,DAL,7,RB,18,14,13,-0.28,-0.07,2,13
,CeeDee Lamb,DAL,7,WR,12,12,14,0.17,0.17,,14
,Derrick Henry,TEN,7,RB,17,15,15,-0.12,0.00,,15
,A.J. Brown,PHI,10,WR,13,17,16,0.23,-0.06,,16
,Davante Adams,LV,13,WR,16,16,17,0.06,0.06,,17
,Josh Jacobs,LV,13,RB,22,20,18,-0.18,-0.10,,18
,Garrett Wilson,NYJ,7,WR,19,19,19,0.00,0.00,,19
,Amon-Ra St. Brown,DET,9,WR,20,18,20,0.00,0.11,,20
,Jaylen Waddle,MIA,10,WR,24,21,21,-0.13,0.00,,21
,Rhamondre Stevenson,NE,11,RB,25,22,22,-0.12,0.00,,22
,Breece Hall,NYJ,7,RB,31,27,23,-0.26,-0.15,,23
,Najee Harris,PIT,6,RB,26,24,24,-0.08,0.00,,24
,DeVonta Smith,PHI,10,WR,28,26,25,-0.11,-0.04,3,25
,Chris Olave,NO,11,WR,29,23,26,-0.10,0.13,,26
,Jalen Hurts,PHI,10,QB,23,29,27,0.17,-0.07,,27
,Tee Higgins,CIN,7,WR,31,25,28,-0.10,0.12,,28
,Travis Etienne,JAC,9,RB,29,33,29,0.00,-0.12,,29
,Aaron Jones,GB,6,RB,39,34,30,-0.23,-0.12,,30
,Joe Mixon,CIN,7,RB,38,31,31,-0.18,0.00,,31
,Patrick Mahomes,KC,10,QB,15,30,32,1.13,0.07,,32
,Josh Allen,BUF,13,QB,21,32,33,0.57,0.03,,33
,DK Metcalf,SEA,5,WR,34,35,34,0.00,-0.03,,34
,Mark Andrews,BAL,13,TE,27,28,35,0.30,0.25,,35
,T.J. Hockenson,MIN,13,TE,42,44,36,-0.14,-0.18,,36
,Jahmyr Gibbs,DET,9,RB,36,36,37,0.03,0.03,4,37
,J.K. Dobbins,BAL,13,RB,52,48,38,-0.27,-0.21,,38
,Amari Cooper,CLE,5,WR,41,37,39,-0.05,0.05,,39
,Kenneth Walker,SEA,5,RB,36,39,40,0.11,0.03,,40
,Miles Sanders,CAR,7,RB,48,41,41,-0.15,0.00,,41
,Deebo Samuel,SF,9,WR,40,40,42,0.05,0.05,,42
,Cam Akers,LAR,10,RB,55,45,43,-0.22,-0.04,,43
,Dameon Pierce,HOU,7,RB,44,51,44,0.00,-0.14,,44
,Keenan Allen,LAC,5,WR,45,38,45,0.00,0.18,,45
,Alexander Mattison,MIN,13,RB,56,55,46,-0.18,-0.16,,46
,Calvin Ridley,JAC,9,WR,42,43,47,0.12,0.09,,47
,Joe Burrow,CIN,7,QB,35,47,48,0.37,0.02,,48
,Tyler Lockett,SEA,5,WR,68,61,49,-0.28,-0.20,5,49
,Drake London,ATL,11,WR,59,52,50,-0.15,-0.04,,50
,George Kittle,SF,9,TE,49,54,51,0.04,-0.06,,51
,Lamar Jackson,BAL,13,QB,33,42,52,0.58,0.24,,52
,Terry McLaurin,WAS,14,WR,51,49,53,0.04,0.08,,53
,Chris Godwin,TB,5,WR,67,58,54,-0.19,-0.07,,54
,DJ Moore,CHI,13,WR,54,53,55,0.02,0.04,,55
,Jerry Jeudy,DEN,9,WR,57,46,56,-0.02,0.22,,56
,DeAndre Hopkins,TEN,7,WR,50,50,57,0.14,0.14,,57
,James Conner,ARI,14,RB,58,57,58,0.00,0.02,,58
,David Montgomery,DET,9,RB,74,67,59,-0.20,-0.12,,59
,Dallas Goedert,PHI,10,TE,62,76,60,-0.03,-0.21,,60
,Christian Watson,GB,6,WR,64,56,61,-0.05,0.09,6,61
,Brandon Aiyuk,SF,9,WR,71,63,62,-0.13,-0.02,,62
,Diontae Johnson,PIT,6,WR,82,66,63,-0.23,-0.05,,63
,Justin Fields,CHI,13,QB,47,59,64,0.36,0.08,,64
,Michael Pittman,IND,11,WR,76,72,65,-0.14,-0.10,,65
,Mike Williams,LAC,5,WR,70,65,66,-0.06,0.02,,66
,Isiah Pacheco,KC,10,RB,73,68,67,-0.08,-0.01,,67
,Kyle Pitts,ATL,11,TE,61,74,68,0.11,-0.08,,68
,Mike Evans,TB,5,WR,79,69,69,-0.13,0.00,,69
,Trevor Lawrence,JAC,9,QB,53,70,70,0.32,0.00,,70
,Rachaad White,TB,5,RB,72,60,71,-0.01,0.18,,71
,Christian Kirk,JAC,9,WR,75,62,72,-0.04,0.16,,72
,Dalvin Cook,FA,-,RB,63,80,73,0.16,-0.09,7,73
,Justin Herbert,LAC,5,QB,46,64,74,0.61,0.16,,74
,Rashaad Penny,PHI,10,RB,90,92,75,-0.17,-0.18,,75
,Marquise Brown,ARI,14,WR,83,73,76,-0.08,0.04,,76
,Pat Freiermuth,PIT,6,TE,85,95,77,-0.09,-0.19,,77
,D'Andre Swift,PHI,10,RB,65,75,78,0.20,0.04,,78
,Javonte Williams,DEN,9,RB,68,71,79,0.16,0.11,,79
,Jahan Dotson,WAS,14,WR,91,81,80,-0.12,-0.01,,80
,Brian Robinson,WAS,14,RB,89,84,81,-0.09,-0.04,,81
,Damien Harris,BUF,13,RB,104,102,82,-0.21,-0.20,,82
,Alvin Kamara,NO,11,RB,59,79,83,0.41,0.05,,83
,AJ Dillon,GB,6,RB,85,85,84,-0.01,-0.01,,84
,Darren Waller,NYG,13,TE,66,78,85,0.29,0.09,8,85
,Khalil Herbert,CHI,13,RB,98,96,86,-0.12,-0.10,,86
,Dak Prescott,DAL,7,QB,77,93,87,0.13,-0.06,,87
,Evan Engram,JAC,9,TE,80,91,88,0.10,-0.03,,88
,George Pickens,PIT,6,WR,84,82,89,0.06,0.09,,89
,Tua Tagovailoa,MIA,10,QB,87,101,90,0.03,-0.11,,90
,Jamaal Williams,NO,11,RB,94,104,91,-0.03,-0.13,,91
,Deshaun Watson,CLE,5,QB,81,87,92,0.14,0.06,,92
,James Cook,BUF,13,RB,78,77,93,0.19,0.21,,93
,Samaje Perine,DEN,9,RB,104,98,94,-0.10,-0.04,,94
,Daniel Jones,NYG,13,QB,103,100,95,-0.08,-0.05,,95
,Gabe Davis,BUF,13,WR,99,88,96,-0.03,0.09,,96
,Elijah Moore,CLE,5,WR,110,108,97,-0.12,-0.10,9,97
,Jordan Addison,MIN,13,WR,91,83,98,0.08,0.18,,98
,Antonio Gibson,WAS,14,RB,94,89,99,0.05,0.11,,99
,Treylon Burks,TEN,7,WR,96,90,100,0.04,0.11,,100
,Jaxon Smith-Njigba,SEA,5,WR,88,86,101,0.15,0.17,,101
,Rashod Bateman,BAL,13,WR,128,114,102,-0.20,-0.11,,102
,Greg Dulcich,DEN,9,TE,119,125,103,-0.13,-0.18,,103
,David Njoku,CLE,5,TE,93,99,104,0.12,0.05,,104
,Kadarius Toney,KC,10,WR,106,113,105,-0.01,-0.07,,105
,Geno Smith,SEA,5,QB,109,109,106,-0.03,-0.03,,106
,Elijah Mitchell,SF,9,RB,114,115,107,-0.06,-0.07,,107
,Brandin Cooks,DAL,7,WR,97,94,108,0.11,0.15,,108
,Courtland Sutton,DEN,9,WR,113,97,109,-0.04,0.12,10,109
,Chigoziem Okonkwo,TEN,7,TE,117,130,110,-0.06,-0.15,,110
,Nico Collins,HOU,7,WR,153,120,111,-0.27,-0.08,,111
,Anthony Richardson,IND,11,QB,110,119,112,0.02,-0.06,,112
,Zach Charbonnet,SEA,5,RB,107,107,113,0.06,0.06,,113
,Tyler Allgeier,ATL,11,RB,127,124,114,-0.10,-0.08,,114
,Kirk Cousins,MIN,13,QB,101,105,115,0.14,0.10,,115
,Jakobi Meyers,LV,13,WR,143,111,116,-0.19,0.05,,116
,Michael Thomas,NO,11,WR,102,110,117,0.15,0.06,,117
,Aaron Rodgers,NYJ,7,QB,100,122,118,0.18,-0.03,,118
,Kenneth Gainwell,PHI,10,RB,178,151,119,-0.33,-0.21,,119
,JuJu Smith-Schuster,NE,11,WR,116,103,120,0.03,0.17,,120
,Jared Goff,DET,9,QB,115,136,121,0.05,-0.11,11,121
,Skyy Moore,KC,10,WR,129,123,122,-0.05,-0.01,,122
,Quentin Johnston,LAC,5,WR,120,106,123,0.03,0.16,,123
,Odell Beckham,BAL,13,WR,108,129,124,0.15,-0.04,,124
,Jameson Williams,DET,9,WR,121,133,125,0.03,-0.06,,125
,D'Onta Foreman,CHI,13,RB,129,142,126,-0.02,-0.11,,126
,Jerick McKinnon,KC,10,RB,118,116,127,0.08,0.09,,127
,Allen Lazard,NYJ,7,WR,126,117,128,0.02,0.09,,128
,Jeff Wilson,MIA,10,RB,155,132,129,-0.17,-0.02,,129
,Zay Flowers,BAL,13,WR,123,112,130,0.06,0.16,,130
,Cole Kmet,CHI,13,TE,124,137,131,0.06,-0.04,,131
,Tyler Boyd,CIN,7,WR,142,131,132,-0.07,0.01,,132
,Jaylen Warren,PIT,6,RB,141,138,133,-0.06,-0.04,12,133
,Darnell Mooney,CHI,13,WR,157,135,134,-0.15,-0.01,,134
,Ezekiel Elliott,FA,-,RB,134,175,135,0.01,-0.23,,135
,Devin Singletary,HOU,7,RB,132,127,136,0.03,0.07,,136
,Sam LaPorta,DET,9,TE,147,159,137,-0.07,-0.14,,137
,Gerald Everett,LAC,5,TE,172,146,138,-0.20,-0.05,,138
,Dalton Schultz,HOU,7,TE,121,121,139,0.15,0.15,,139
,Raheem Mostert,MIA,10,RB,134,140,140,0.04,0.00,,140
,Adam Thielen,CAR,7,WR,129,144,141,0.09,-0.02,,141
,Tyler Higbee,LAR,10,TE,143,126,142,-0.01,0.13,,142
,Kendre Miller,NO,11,RB,137,149,143,0.04,-0.04,,143
,Dalton Kincaid,BUF,13,TE,125,148,144,0.15,-0.03,,144
,Rondale Moore,ARI,14,WR,146,134,145,-0.01,0.08,13,145
,Michael Gallup,DAL,7,WR,160,147,146,-0.09,-0.01,,146
,Clyde Edwards-Helaire,KC,10,RB,161,170,147,-0.09,-0.14,,147
,DJ Chark,CAR,7,WR,169,143,148,-0.12,0.03,,148
,Zay Jones,JAC,9,WR,164,128,149,-0.09,0.16,,149
,De'Von Achane,MIA,10,RB,112,118,150,0.34,0.27,,150
,Leonard Fournette,FA,-,RB,171,196,152,-0.11,-0.22,,151
,Rashid Shaheed,NO,11,WR,185,162,153,-0.17,-0.06,,152
,Chuba Hubbard,CAR,7,RB,154,150,155,0.01,0.03,,153
,Donovan Peoples-Jones,CLE,5,WR,143,152,156,0.09,0.03,,154
,Russell Wilson,DEN,9,QB,133,139,157,0.18,0.13,,155
